Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
Lewis Hayes  ,  actor/actress: Garett Gates (8 episodes 2022) ,  seer , anything , 
Philip Rosch  ,  actor/actress: Ansel Gates (8 episodes 2022) ,  vampire , vegetarian , 
Michael Okele  ,  actor/actress: Morga(uncredited) (8 episodes 2022) ,  seer , vegetarian , 
Chloe Cate  ,  actor/actress: Studen(uncredited) (8 episodes 2022) ,  seer , anything , 
Kayla Alpert  ,  executive producer (8 episodes 2022) ,  human , flexitarian , 
Gail Berman  ,  executive producer (8 episodes 2022) ,  seer , anything , 
Tim Burton  ,  executive producer (8 episodes 2022) ,  vampire , flexitarian , 
Jonathan Glickman  ,  executive producer (8 episodes 2022) ,  vampire , vegetarian , 
Carla Gonz�lez Vargas  ,  co-executive producer (8 episodes 2022) ,  human , anything , 
Alfred Gough  ,  executive producer (8 episodes 2022) ,  human , vegetarian , 
Tommy Harper  ,  executive producer (8 episodes 2022) ,  seer , vegetarian , 
Nick Iannelli  ,  co-producer (8 episodes 2022) ,  seer , vegetarian , 
Kevin Lafferty  ,  executive producer (8 episodes 2022) ,  human , flexitarian , 
Miles Millar  ,  executive producer (8 episodes 2022) ,  seer , vegetarian , 
David Minkowski  ,  co-executive producer (8 episodes 2022) ,  mermaid , vegetarian , 
Kevin Miserocchi  ,  executive producer (8 episodes 2022) ,  human , flexitarian , 
Andrew Mittman  ,  executive producer (8 episodes 2022) ,  human , anything , 
Carmen Pepelea  ,  producer (8 episodes 2022) ,  mermaid , flexitarian , 
Steve Stark  ,  executive producer (8 episodes 2022) ,  human , vegetarian , 
Natalie Testa  ,  associate producer (8 episodes 2022) ,  werewolf , anything , 
Todd Williams  ,  co-executive producer (8 episodes 2022) ,  werewolf , flexitarian , 
Chris Bacon  ,  music (7 episodes 2022) ,  vampire , flexitarian , 
Danny Elfman  ,  music (4 episodes 2022) ,  human , anything , 
Stephan Pehrsson  ,  cinematography (4 episodes 2022) ,  human , flexitarian , 
David Lanzenberg  ,  cinematography (4 episodes 2022) ,  seer , flexitarian , 
Ana Yavari  ,  film editing (4 episodes 2022) ,  mermaid , vegetarian , 
Jay Prychidny  ,  film editing (4 episodes 2022) ,  werewolf , flexitarian , 
Paul G. Day  ,  film editing (1 episode 2022) ,  human , flexitarian , 
Florina Fernandes  ,  casting (8 episodes 2022) ,  vampire , vegetarian , 
Sophie Holland  ,  casting (8 episodes 2022) ,  human , vegetarian , 
John Papsidera  ,  casting (8 episodes 2022) ,  mermaid , vegetarian , 
Mark Scruton  ,  production design (8 episodes 2022) ,  human , vegetarian , 
Adrian Curelea  ,  supervising art director (8 episodes 2022) ,  werewolf , anything , 
Ghinea Diana  ,  art direction (8 episodes 2022) ,  seer , anything , 
Silvia Nancu  ,  art direction (8 episodes 2022) ,  seer , flexitarian , 
Andrei-Florian Popa  ,  assistant art director / additional standby art director (8 episodes 2022) ,  vampire , flexitarian , 
Serban Porupca  ,  senior art director (8 episodes 2022) ,  werewolf , flexitarian , 
Vlad Roseanu  ,  on-set art director / art director (8 episodes 2022) ,  human , vegetarian , 
Roxana Alexandru  ,  art direction (3 episodes 2022) ,  vampire , anything , 
Carmen Ratoi  ,  art direction (3 episodes 2022) ,  vampire , anything , 
Laurentiu Zarnoianu  ,  set direction (8 episodes 2022) ,  vampire , anything , 
David Morison  ,  set direction (4 episodes 2022) ,  human , flexitarian , 
Rob Hepburn  ,  set direction (4 episodes 2022) ,  vampire , vegetarian , 
Colleen Atwood  ,  costume design (8 episodes 2022) ,  human , vegetarian , 
Bianca Boeroiu  ,  makeup artist (8 episodes 2022) ,  werewolf , anything , 
Catalin Ciutu  ,  hair stylist supervisor: crowd (8 episodes 2022) ,  mermaid , flexitarian , 
Natalie L Costello  ,  special makeup effects artist (8 episodes 2022) ,  werewolf , vegetarian , 
Julian Hutcheson  ,  special makeup effects artist (8 episodes 2022) ,  seer , vegetarian , 
Nirvana Jalalvand  ,  hair & makeup artist: main team (8 episodes 2022) ,  seer , flexitarian , 
Grace McComisky  ,  prosthetic artist / prosthetic makeup artist (8 episodes 2022) ,  vampire , flexitarian , 
Tara McDonald  ,  hair & makeup designer (8 episodes 2022) ,  mermaid , vegetarian , 
Dominic Mombrun  ,  dental effects designer & fabricator (8 episodes 2022) ,  vampire , flexitarian , 
Angela Ruiz Morales  ,  prosthetics artist (8 episodes 2022) ,  seer , vegetarian , 
Paraschiv Oana  ,  makeup artist (8 episodes 2022) ,  vampire , flexitarian , 
Alexandru Sassu  ,  assistant makeup artist (8 episodes 2022) ,  werewolf , flexitarian , 
Bas Schwarz  ,  special effects makeup artist: mouldmaker & props (8 episodes 2022) ,  human , anything , 
Rub�n Serra  ,  special makeup effects artist (8 episodes 2022) ,  vampire , anything , 
Margo Stefan  ,  hair stylist (8 episodes 2022) ,  seer , vegetarian , 
Viktoria Stieber  ,  prosthetic makeup artist (8 episodes 2022) ,  werewolf , flexitarian , 
Sinead Sweeney  ,  SFX contact lens coordinator (8 episodes 2022) ,  seer , vegetarian , 
Iuliana Temelie  ,  hair stylist (8 episodes 2022) ,  mermaid , flexitarian , 
Clara Tudose  ,  hair & makeup artist (8 episodes 2022) ,  werewolf , vegetarian , 
Raquel �lvarez  ,  prosthetic makeup sculptor (8 episodes 2022) ,  seer , anything , 
Freda Ellis  ,  makeup supervisor (6 episodes 2022) ,  vampire , flexitarian , 
Ripley Dale-Gulston  ,  junior hair & makeup artist (6 episodes 2022) ,  human , anything , 
Olimpia Stoicea  ,  hair & makeup artist: main team (6 episodes 2022) ,  werewolf , vegetarian , 
Tia Costell  ,  junior hair & makeup artist (4 episodes 2022) ,  vampire , flexitarian , 
Susan Cole  ,  personal hair stylist: Luis Guzman (4 episodes 2022) ,  vampire , flexitarian , 
Jean Carlos de Blas  ,  key hair & makeup artist (4 episodes 2022) ,  seer , anything , 
Gabriella Havens  ,  makeup artist (3 episodes 2022) ,  mermaid , flexitarian , 
Sheherezada Kouchaki  ,  makeup artist (4 episodes 2022) ,  mermaid , flexitarian , 
Raluca Moldoveanu  ,  makeup artist (4 episodes 2022) ,  mermaid , flexitarian , 
Andrea Dardea Tesdall  ,  special makeup effects artist (3 episodes 2022) ,  seer , flexitarian , 
Nicoleta Toader  ,  hair stylist: cast (4 episodes 2022) ,  mermaid , anything , 
Natalie Fox  ,  additional hair & makeup artist (2 episodes 2022) ,  seer , vegetarian , 
Niki De Jong  ,  prosthetic makeup artist (1 episode 2022) ,  werewolf , flexitarian , 
Ionel Popa  ,  special makeup effects artist (1 episode 2022) ,  werewolf , anything , 
Athina Sapanidis  ,  prosthethic makeup artist (1 episode 2022) ,  vampire , flexitarian , 
Razvan Badea  ,  unit production manager / production manager (8 episodes 2022) ,  mermaid , anything , 
Irene Iovan Calangiu  ,  health & safety unit production manager: covid (8 episodes 2022) ,  vampire , anything , 
Alexandru Cseh  ,  production manager: second unit (8 episodes 2022) ,  seer , anything , 
Emma Mallett  ,  unit production manager: additional photography (1 episode 2022) ,  seer , vegetarian , 
Alexandru Acsinte  ,  assistant director (8 episodes 2022) ,  werewolf , anything , 
Emilie Balusson  ,  second second assistant director / co-second assistant director (8 episodes 2022) ,  vampire , vegetarian , 
Bianca Bumbacea  ,  assistant director (8 episodes 2022) ,  human , anything , 
Simona Dinu  ,  second assistant director (8 episodes 2022) ,  seer , vegetarian , 
Mariana Grama  ,  crowd second assistant director (8 episodes 2022) ,  human , flexitarian , 
Mircea Hategan  ,  first assistant director (8 episodes 2022) ,  human , anything , 
Stefania Ispas  ,  trainee assistant director (8 episodes 2022) ,  seer , flexitarian , 
Loyzo  ,  third assistant director (8 episodes 2022) ,  seer , vegetarian , 
Raphael Tudor  ,  third assistant director (8 episodes 2022) ,  werewolf , flexitarian , 
Costin Sforaru  ,  assistant director (7 episodes 2022) ,  vampire , flexitarian , 
Sabina Balan  ,  crowd first assistant director (6 episodes 2022) ,  human , vegetarian , 
Brett Chan  ,  second unit director (6 episodes 2022) ,  vampire , vegetarian , 
Ada Dumitru  ,  cast assistant (6 episodes 2022) ,  seer , vegetarian , 
Emyr Glyn Rees  ,  second assistant director / first assistant director (6 episodes 2022) ,  vampire , flexitarian , 
Jessica Kirec  ,  second assistant director (4 episodes 2022) ,  werewolf , anything , 
George Walker  ,  first assistant director (4 episodes 2022) ,  vampire , flexitarian , 
Richard O'Brien-Moran  ,  first assistant director (2 episodes 2022) ,  seer , vegetarian , 
Mihaela Ionita  ,  second assistant director (2 episodes 2022) ,  human , anything , 
Alexandra Popa  ,  crowd second assistant director (1 episode 2022) ,  vampire , flexitarian , 
Alexandru Trandafira  ,  crowd assistant director (2 episodes 2022) ,  vampire , vegetarian , 
Sucioaia Alexandra  ,  set dressing painter (8 episodes 2022) ,  human , anything , 
Tache Alexandru  ,  graphic designer (8 episodes 2022) ,  human , vegetarian , 
Corneliu Mihai Bonciu  ,  sculptor (8 episodes 2022) ,  mermaid , flexitarian , 
Rachel Garlick  ,  storyboard artist (8 episodes 2022) ,  mermaid , vegetarian , 
Florin Gavrila  ,  lead set dressing painter (8 episodes 2022) ,  vampire , anything , 
Adi Handac  ,  property master (8 episodes 2022) ,  seer , anything , 
Dana Ilie  ,  art department manager (8 episodes 2022) ,  human , flexitarian , 
Alexandru Titus Ipate  ,  action vehicles supervisor (8 episodes 2022) ,  human , vegetarian , 
Simona Maican  ,  art department coordinator (8 episodes 2022) ,  seer , vegetarian , 
Cristian Mihaila  ,  assistant set decorator / set decoration buyer (8 episodes 2022) ,  werewolf , flexitarian , 
Cosmin Miroiu  ,  head of greenery (8 episodes 2022) ,  werewolf , anything , 
Amalia Mititelu  ,  set dressing painter (8 episodes 2022) ,  vampire , vegetarian , 
Pietro Nume  ,  concept artist (8 episodes 2022) ,  werewolf , vegetarian , 
Iulia Petrescu  ,  assistant set decorator (8 episodes 2022) ,  seer , flexitarian , 
Madalina Ripanu  ,  clearance coordinator (8 episodes 2022) ,  vampire , flexitarian , 
Geaniloni Sandru  ,  lead painter (8 episodes 2022) ,  mermaid , vegetarian , 
Eusebiu Sirbu  ,  head graphic designer (8 episodes 2022) ,  werewolf , anything , 
Cristina Stefan  ,  graphic designer (8 episodes 2022) ,  seer , flexitarian , 
Alexandra Tudor  ,  assistant art director (8 episodes 2022) ,  seer , vegetarian , 
Laurentiu Zarnoianu  ,  leadman (8 episodes 2022) ,  human , flexitarian , 
Liviu Antonescu  ,  graphic designer (6 episodes 2022) ,  seer , vegetarian , 
Madalina Ciosu  ,  set designer (6 episodes 2022) ,  mermaid , anything , 
Tudor Iordachescu  ,  set designer (6 episodes 2022) ,  seer , vegetarian , 
Anca Iscru  ,  set designer (6 episodes 2022) ,  seer , flexitarian , 
Ana Neag  ,  assistant art director (6 episodes 2022) ,  mermaid , anything , 
Iulia Pasarica  ,  assistant art director (6 episodes 2022) ,  mermaid , vegetarian , 
Andreea Siminea  ,  set designer (6 episodes 2022) ,  seer , flexitarian , 
Amy Lockwood  ,  assistant set decorator (4 episodes 2022) ,  mermaid , vegetarian , 
Andrew Cherry  ,  storyboard artist (3 episodes 2022) ,  human , vegetarian , 
Cristian Darstar  ,  storyboard artist (3 episodes 2022) ,  seer , vegetarian , 
Adrian Curelea  ,  supervising art director (2 episodes 2022) ,  mermaid , anything , 
Serban Porupca  ,  senior art director (2 episodes 2022) ,  vampire , vegetarian , 
Radu Costache  ,  assistant property master (1 episode 2022) ,  werewolf , flexitarian , 
Jennifer Keen  ,  first set decoration buyer (1 episode 2022) ,  human , anything , 
Karen Krizanovich  ,  production design researcher (1 episode 2022) ,  human , flexitarian , 
Ben Livingstone  ,  illustrator (1 episode 2022) ,  seer , anything , 
Yohann Angelvy  ,  french casting mixer (8 episodes 2022) ,  werewolf , anything , 
Michael Baskerville  ,  re-recording mixer (8 episodes 2022) ,  mermaid , vegetarian , 
Nicolae Comarzan  ,  sound mixer: second unit (8 episodes 2022) ,  werewolf , flexitarian , 
Tony Diaz  ,  adr mixer (8 episodes 2022) ,  vampire , vegetarian , 
Arturo A. Fuenmayor  ,  re-recording mix assistant / additional re-recording mixer (8 episodes 2022) ,  human , vegetarian , 
Alastair Gray  ,  dialogue editor (8 episodes 2022) ,  human , vegetarian , 
Justin Helle  ,  foley mixer (8 episodes 2022) ,  werewolf , flexitarian , 
John Loranger  ,  supervising sound editor (8 episodes 2022) ,  mermaid , anything , 
Liviu Lupsa  ,  sound mixer (8 episodes 2022) ,  werewolf , vegetarian , 
Kristi McIntyre  ,  adr editor / sound effects editor (8 episodes 2022) ,  mermaid , vegetarian , 
Sean Miller  ,  adr recordist (8 episodes 2022) ,  mermaid , vegetarian , 
Faustine Pelipel  ,  assistant sound editor (8 episodes 2022) ,  human , vegetarian , 
Dan Sexton  ,  sound effects editor (8 episodes 2022) ,  vampire , vegetarian , 
Alex Stylianou  ,  adr recordist (8 episodes 2022) ,  vampire , anything , 
Jamie Sulek  ,  re-recording mixer (8 episodes 2022) ,  vampire , anything , 
Mike Tehrani  ,  adr mixer (8 episodes 2022) ,  human , flexitarian , 
Marcus Byrne  ,  adr mixer (7 episodes 2022) ,  werewolf , vegetarian , 
Greg Crawford  ,  adr mixer (7 episodes 2022) ,  seer , anything , 
Juan Martin Del Campo  ,  adr mixer (7 episodes 2022) ,  werewolf , vegetarian , 
Tim McKeever  ,  adr mixer (7 episodes 2022) ,  human , vegetarian , 
Simon Diggins  ,  adr mixer (6 episodes 2022) ,  mermaid , flexitarian , 
Jonathan Gomez  ,  adr mixer (4 episodes 2022) ,  mermaid , vegetarian , 
Nathan Jackson  ,  foley editor (1 episode 2022) ,  seer , anything , 
William Kellerman  ,  foley artist (1 episode 2022) ,  human , vegetarian , 
Leslie Liu  ,  adr mixer (2 episodes 2022) ,  seer , flexitarian , 
Ana Quiroga  ,  audio coordinator (uncredited) (8 episodes 2022) ,  mermaid , anything , 
Dan Barcutean  ,  special effects technician (8 episodes 2022) ,  vampire , vegetarian , 
Max Costello  ,  special effects technician (7 episodes 2022) ,  human , flexitarian , 
Florin Stoian  ,  special effects technician (8 episodes 2022) ,  seer , vegetarian , 
Harry Troughton  ,  special effects coordinator (8 episodes 2022) ,  human , vegetarian , 
Jason Troughton  ,  special effects supervisor (8 episodes 2022) ,  werewolf , anything , 
Adrian Nica  ,  lead technician (4 episodes 2022) ,  vampire , vegetarian , 
Ilinca Angelescu  ,  special effects makeup (1 episode 2022) ,  seer , flexitarian , 
Yovko Dogandjiiski  ,  special effects supervisor (2 episodes 2022) ,  human , vegetarian , 
Antonia Tocheva  ,  special effects office coordinator (2 episodes 2022) ,  seer , anything , 
Matthew Adams  ,  digital compositor: Ghost VFX Toronto (8 episodes 2022) ,  mermaid , vegetarian , 
Oana Bardan  ,  visual effects coordinator (8 episodes 2022) ,  mermaid , anything , 
Craig Calvert  ,  visual effects supervisor: Mr. X (8 episodes 2022) ,  vampire , flexitarian , 
Kevin Chandoo  ,  head of studio: Ghost VFX Toronto (8 episodes 2022) ,  mermaid , vegetarian , 
Nick Colangelo  ,  visual effects producer: Mr. X (8 episodes 2022) ,  werewolf , vegetarian , 
John Coldrick  ,  visual effects supervisor: Rocket Science VFX (8 episodes 2022) ,  mermaid , anything , 
Sam Cole  ,  lighting lead: Mr. X (8 episodes 2022) ,  mermaid , anything , 
Chris Cooper  ,  cg supervisor: Mr. X (8 episodes 2022) ,  vampire , flexitarian , 
Roger Dalupang  ,  lead render wrangler/pipeline td (8 episodes 2022) ,  mermaid , flexitarian , 
Swedyl DSouza  ,  visual effects production manager (8 episodes 2022) ,  werewolf , flexitarian , 
Maxime Ducharme  ,  visual effects artist: MELS (2 episodes 2022) ,  seer , anything , 
Paula Fanaia  ,  digital compositor: Ghost VFX Toronto (8 episodes 2022) ,  vampire , anything , 
Mariah Fleetham  ,  visual effects production assistant: Take 5 VFX (8 episodes 2022) ,  seer , vegetarian , 
Kathryn Foster  ,  visual effects editor: Ghost VFX Toronto (8 episodes 2022) ,  vampire , vegetarian , 
Ben Funk  ,  lead compositor: Take 5 VFX (8 episodes 2022) ,  mermaid , vegetarian , 
Keith Goh  ,  visual effects assistant editor: MPC (8 episodes 2022) ,  mermaid , vegetarian , 
Kari-Lyn Gravel  ,  visual effects associate line producer: Stereo D (8 episodes 2022) ,  mermaid , flexitarian , 
Jon Howard  ,  visual effects producer: Ghost VFX Toronto (6 episodes 2022) ,  seer , flexitarian , 
Kent Johnson  ,  visual effects producer (8 episodes 2022) ,  mermaid , flexitarian , 
Anna Joukova  ,  compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022) ,  seer , anything , 
Jesse Kawzenuk  ,  on-set visual effects supervisor (8 episodes 2022) ,  werewolf , vegetarian , 
Grant Lee  ,  visual effects supervisor: Stereo D (8 episodes 2022) ,  werewolf , vegetarian , 
Jake Lunt Davies  ,  concept design (8 episodes 2022) ,  seer , flexitarian , 
Dumitrana Teodora Lupu  ,  visual effects production assistant (8 episodes 2022) ,  vampire , vegetarian , 
Amy Madigan  ,  visual effects production manager: Stereo D (8 episodes 2022) ,  vampire , flexitarian , 
Yael Majors  ,  visual effects assistant supervisor: Stereo D (3 episodes 2022) ,  mermaid , anything , 
Mariano Mendoza  ,  assets lead: Mr. X (8 episodes 2022) ,  mermaid , anything , 
Guillermo Molina  ,  lead tools developer (8 episodes 2022) ,  seer , anything , 
Skye Morandin  ,  visual effects production manager: Stereo D (8 episodes 2022) ,  vampire , anything , 
Tom Nagy  ,  animation supervisor: Mr. X (8 episodes 2022) ,  human , flexitarian , 
Ken Nielsen  ,  compositing supervisor: Ghost VFX Toronto (8 episodes 2022) ,  human , vegetarian , 
Razvan Nineaca  ,  data wrangler (8 episodes 2022) ,  werewolf , flexitarian , 
Anthony O'Connell  ,  Render Wrangler (8 episodes 2022) ,  seer , flexitarian , 
Catalin Otelea  ,  data wrangler (8 episodes 2022) ,  vampire , anything , 
Matei Ovejan  ,  data wrangler (8 episodes 2022) ,  human , vegetarian , 
Alessandro Pantanella  ,  visual effects supervisor: Ghost VFX Toronto (8 episodes 2022) ,  vampire , anything , 
Travis Pond  ,  compositor: Take 5 VFX (8 episodes 2022) ,  mermaid , vegetarian , 
Yawar Raja  ,  layout lead: Mr. X (8 episodes 2022) ,  mermaid , anything , 
Aditya Sawant  ,  visual effects coordinator: Ghost VFX Toronto (8 episodes 2022) ,  seer , anything , 
Matt Schofield  ,  vfx head of operations (8 episodes 2022) ,  human , flexitarian , 
Ksenia Shutova  ,  compositor: Take 5 VFX (8 episodes 2022) ,  human , anything , 
Mark Simone  ,  visual effects producer: Stereo D (8 episodes 2022) ,  vampire , anything , 
Denis St-Pierre  ,  compositor: Take 5 VFX (8 episodes 2022) ,  werewolf , flexitarian , 
Ryan Terk  ,  Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022) ,  werewolf , vegetarian , 
Jason Teske  ,  rigging lead: Mr. X (8 episodes 2022) ,  vampire , vegetarian , 
Tom Turnbull  ,  visual effects supervisor (8 episodes 2022) ,  human , vegetarian , 
Fabi�n Varela  ,  visual effects producer: Ghost VFX Toronto (8 episodes 2022) ,  human , anything , 
Kelly Weisz  ,  visual effects studio manager: Take 5 VFX (8 episodes 2022) ,  vampire , vegetarian , 
Angela Zhang  ,  visual effects production manager: Mr. X (8 episodes 2022) ,  mermaid , anything , 
Kayden Anderson  ,  visual effects producer: Rocket Science VFX (7 episodes 2022) ,  seer , vegetarian , 
Eddie Englander  ,  visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022) ,  seer , flexitarian , 
Rashid Khallouk  ,  compositing lead: Mr. X (6 episodes 2022) ,  vampire , flexitarian , 
Timothy Mah  ,  visual effects editor: Rocket Science VFX (7 episodes 2022) ,  vampire , anything , 
Michael Osuszek  ,  visual effects coordinator: Rocket Science VFX (7 episodes 2022) ,  seer , anything , 
Rodrigo Paiva  ,  compositing lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , flexitarian , 
Suresh Pandi  ,  lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022) ,  vampire , anything , 
Francois Robert  ,  matchmove/layout artist: MELS (3 episodes 2022) ,  vampire , vegetarian , 
Adam Smith  ,  lead compositor: Rocket Science VFX (7 episodes 2022) ,  werewolf , anything , 
Sarvesh Amre  ,  visual effects production manager: NetFX Mumbai (6 episodes 2022) ,  human , vegetarian , 
Beno�t Bri�re  ,  visual effects supervisor: MELS (6 episodes 2022) ,  mermaid , vegetarian , 
Paul Chambers  ,  assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , anything , 
Dipak Gaur  ,  digital compositor: Ghost VFX Toronto (6 episodes 2022) ,  human , vegetarian , 
Taraknath Ghosh  ,  paint artist: Stereo D (5 episodes 2022) ,  human , anything , 
Baz Lanaris  ,  cg supervisor: MELS (6 episodes 2022) ,  vampire , flexitarian , 
Prateek Mishra  ,  paint artist: Stereo D (5 episodes 2022) ,  human , vegetarian , 
Erin Nicholson  ,  cg supervisor: Ghost VFX Toronto (6 episodes 2022) ,  vampire , anything , 
Bikram Singh  ,  paint artist: Stereo D (5 episodes 2022) ,  vampire , anything , 
Khushroo Surveyor  ,  visual effects lighter: Rocket Science VFX (5 episodes 2022) ,  human , vegetarian , 
Ramesh Kumar Yanagandhula  ,  paint artist: Stereo D (5 episodes 2022) ,  mermaid , vegetarian , 
Lynx Zuo  ,  digital compositor: Ghost VFX Toronto (6 episodes 2022) ,  vampire , vegetarian , 
Patti Gannon  ,  compositor: Take 5 VFX (4 episodes 2022) ,  vampire , vegetarian , 
Tanya Haddad  ,  visual effects producer: Folks VFX (5 episodes 2022) ,  human , vegetarian , 
JoAnna Johnson  ,  compositor: Rocket Science VFX (4 episodes 2022) ,  vampire , flexitarian , 
Luca Lim Diniz  ,  visual effects artist: MELS (4 episodes 2022) ,  werewolf , anything , 
Brodie McNeill  ,  visual effects supervisor: Folks VFX (5 episodes 2022) ,  seer , anything , 
Tabata Ortiz  ,  visual effects artist: MELS (4 episodes 2022) ,  seer , anything , 
Nishant Patel  ,  visual effects lighter: Rocket Science VFX (1 episode 2022) ,  werewolf , vegetarian , 
