Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
Raquel �lvarez  ,  prosthetic makeup sculptor (8 episodes 2022) ,  vampire , anything , 
Freda Ellis  ,  makeup supervisor (6 episodes 2022) ,  mermaid , vegetarian , 
Ripley Dale-Gulston  ,  junior hair & makeup artist (6 episodes 2022) ,  seer , anything , 
Olimpia Stoicea  ,  hair & makeup artist: main team (6 episodes 2022) ,  vampire , vegetarian , 
Tia Costell  ,  junior hair & makeup artist (4 episodes 2022) ,  seer , flexitarian , 
Susan Cole  ,  personal hair stylist: Luis Guzman (4 episodes 2022) ,  vampire , vegetarian , 
Jean Carlos de Blas  ,  key hair & makeup artist (4 episodes 2022) ,  seer , anything , 
Gabriella Havens  ,  makeup artist (3 episodes 2022) ,  seer , vegetarian , 
Sheherezada Kouchaki  ,  makeup artist (4 episodes 2022) ,  werewolf , vegetarian , 
Raluca Moldoveanu  ,  makeup artist (4 episodes 2022) ,  vampire , flexitarian , 
Andrea Dardea Tesdall  ,  special makeup effects artist (3 episodes 2022) ,  vampire , flexitarian , 
Nicoleta Toader  ,  hair stylist: cast (4 episodes 2022) ,  werewolf , flexitarian , 
Natalie Fox  ,  additional hair & makeup artist (2 episodes 2022) ,  mermaid , flexitarian , 
Niki De Jong  ,  prosthetic makeup artist (1 episode 2022) ,  human , flexitarian , 
Ionel Popa  ,  special makeup effects artist (1 episode 2022) ,  werewolf , flexitarian , 
Athina Sapanidis  ,  prosthethic makeup artist (1 episode 2022) ,  werewolf , vegetarian , 
Razvan Badea  ,  unit production manager / production manager (8 episodes 2022) ,  vampire , anything , 
Irene Iovan Calangiu  ,  health & safety unit production manager: covid (8 episodes 2022) ,  vampire , vegetarian , 
Alexandru Cseh  ,  production manager: second unit (8 episodes 2022) ,  mermaid , flexitarian , 
Emma Mallett  ,  unit production manager: additional photography (1 episode 2022) ,  werewolf , flexitarian , 
Alexandru Acsinte  ,  assistant director (8 episodes 2022) ,  vampire , flexitarian , 
Emilie Balusson  ,  second second assistant director / co-second assistant director (8 episodes 2022) ,  human , anything , 
Bianca Bumbacea  ,  assistant director (8 episodes 2022) ,  human , flexitarian , 
Simona Dinu  ,  second assistant director (8 episodes 2022) ,  werewolf , vegetarian , 
Mariana Grama  ,  crowd second assistant director (8 episodes 2022) ,  seer , vegetarian , 
Mircea Hategan  ,  first assistant director (8 episodes 2022) ,  werewolf , vegetarian , 
Stefania Ispas  ,  trainee assistant director (8 episodes 2022) ,  mermaid , flexitarian , 
Loyzo  ,  third assistant director (8 episodes 2022) ,  mermaid , vegetarian , 
Raphael Tudor  ,  third assistant director (8 episodes 2022) ,  mermaid , anything , 
Costin Sforaru  ,  assistant director (7 episodes 2022) ,  human , vegetarian , 
Sabina Balan  ,  crowd first assistant director (6 episodes 2022) ,  mermaid , anything , 
Brett Chan  ,  second unit director (6 episodes 2022) ,  werewolf , flexitarian , 
Ada Dumitru  ,  cast assistant (6 episodes 2022) ,  human , flexitarian , 
Emyr Glyn Rees  ,  second assistant director / first assistant director (6 episodes 2022) ,  seer , anything , 
Jessica Kirec  ,  second assistant director (4 episodes 2022) ,  werewolf , anything , 
George Walker  ,  first assistant director (4 episodes 2022) ,  werewolf , anything , 
Richard O'Brien-Moran  ,  first assistant director (2 episodes 2022) ,  human , flexitarian , 
Mihaela Ionita  ,  second assistant director (2 episodes 2022) ,  werewolf , vegetarian , 
Alexandra Popa  ,  crowd second assistant director (1 episode 2022) ,  werewolf , flexitarian , 
Alexandru Trandafira  ,  crowd assistant director (2 episodes 2022) ,  seer , flexitarian , 
Sucioaia Alexandra  ,  set dressing painter (8 episodes 2022) ,  mermaid , flexitarian , 
Tache Alexandru  ,  graphic designer (8 episodes 2022) ,  werewolf , vegetarian , 
Corneliu Mihai Bonciu  ,  sculptor (8 episodes 2022) ,  human , flexitarian , 
Rachel Garlick  ,  storyboard artist (8 episodes 2022) ,  werewolf , flexitarian , 
Florin Gavrila  ,  lead set dressing painter (8 episodes 2022) ,  werewolf , vegetarian , 
Adi Handac  ,  property master (8 episodes 2022) ,  seer , vegetarian , 
Dana Ilie  ,  art department manager (8 episodes 2022) ,  vampire , anything , 
Alexandru Titus Ipate  ,  action vehicles supervisor (8 episodes 2022) ,  werewolf , vegetarian , 
Simona Maican  ,  art department coordinator (8 episodes 2022) ,  seer , flexitarian , 
Cristian Mihaila  ,  assistant set decorator / set decoration buyer (8 episodes 2022) ,  vampire , flexitarian , 
Cosmin Miroiu  ,  head of greenery (8 episodes 2022) ,  vampire , anything , 
Amalia Mititelu  ,  set dressing painter (8 episodes 2022) ,  human , vegetarian , 
Pietro Nume  ,  concept artist (8 episodes 2022) ,  human , anything , 
Iulia Petrescu  ,  assistant set decorator (8 episodes 2022) ,  human , anything , 
Madalina Ripanu  ,  clearance coordinator (8 episodes 2022) ,  vampire , flexitarian , 
Geaniloni Sandru  ,  lead painter (8 episodes 2022) ,  human , vegetarian , 
Eusebiu Sirbu  ,  head graphic designer (8 episodes 2022) ,  seer , anything , 
Cristina Stefan  ,  graphic designer (8 episodes 2022) ,  mermaid , vegetarian , 
Alexandra Tudor  ,  assistant art director (8 episodes 2022) ,  seer , flexitarian , 
Laurentiu Zarnoianu  ,  leadman (8 episodes 2022) ,  seer , vegetarian , 
Liviu Antonescu  ,  graphic designer (6 episodes 2022) ,  vampire , flexitarian , 
Madalina Ciosu  ,  set designer (6 episodes 2022) ,  seer , anything , 
Tudor Iordachescu  ,  set designer (6 episodes 2022) ,  mermaid , vegetarian , 
Anca Iscru  ,  set designer (6 episodes 2022) ,  human , vegetarian , 
Ana Neag  ,  assistant art director (6 episodes 2022) ,  werewolf , anything , 
Iulia Pasarica  ,  assistant art director (6 episodes 2022) ,  vampire , flexitarian , 
Andreea Siminea  ,  set designer (6 episodes 2022) ,  werewolf , flexitarian , 
Amy Lockwood  ,  assistant set decorator (4 episodes 2022) ,  vampire , vegetarian , 
Andrew Cherry  ,  storyboard artist (3 episodes 2022) ,  mermaid , flexitarian , 
Cristian Darstar  ,  storyboard artist (3 episodes 2022) ,  human , vegetarian , 
Adrian Curelea  ,  supervising art director (2 episodes 2022) ,  mermaid , vegetarian , 
Serban Porupca  ,  senior art director (2 episodes 2022) ,  werewolf , vegetarian , 
Radu Costache  ,  assistant property master (1 episode 2022) ,  vampire , flexitarian , 
Jennifer Keen  ,  first set decoration buyer (1 episode 2022) ,  seer , anything , 
Karen Krizanovich  ,  production design researcher (1 episode 2022) ,  human , anything , 
Ben Livingstone  ,  illustrator (1 episode 2022) ,  werewolf , vegetarian , 
Yohann Angelvy  ,  french casting mixer (8 episodes 2022) ,  human , vegetarian , 
Michael Baskerville  ,  re-recording mixer (8 episodes 2022) ,  human , anything , 
Nicolae Comarzan  ,  sound mixer: second unit (8 episodes 2022) ,  mermaid , vegetarian , 
Tony Diaz  ,  adr mixer (8 episodes 2022) ,  mermaid , vegetarian , 
Arturo A. Fuenmayor  ,  re-recording mix assistant / additional re-recording mixer (8 episodes 2022) ,  werewolf , anything , 
Alastair Gray  ,  dialogue editor (8 episodes 2022) ,  vampire , flexitarian , 
Justin Helle  ,  foley mixer (8 episodes 2022) ,  seer , flexitarian , 
John Loranger  ,  supervising sound editor (8 episodes 2022) ,  mermaid , flexitarian , 
Liviu Lupsa  ,  sound mixer (8 episodes 2022) ,  werewolf , anything , 
Kristi McIntyre  ,  adr editor / sound effects editor (8 episodes 2022) ,  human , vegetarian , 
Sean Miller  ,  adr recordist (8 episodes 2022) ,  seer , anything , 
Faustine Pelipel  ,  assistant sound editor (8 episodes 2022) ,  mermaid , anything , 
Dan Sexton  ,  sound effects editor (8 episodes 2022) ,  vampire , anything , 
Alex Stylianou  ,  adr recordist (8 episodes 2022) ,  werewolf , anything , 
Jamie Sulek  ,  re-recording mixer (8 episodes 2022) ,  seer , anything , 
Mike Tehrani  ,  adr mixer (8 episodes 2022) ,  vampire , anything , 
Marcus Byrne  ,  adr mixer (7 episodes 2022) ,  mermaid , anything , 
Greg Crawford  ,  adr mixer (7 episodes 2022) ,  werewolf , flexitarian , 
Juan Martin Del Campo  ,  adr mixer (7 episodes 2022) ,  human , vegetarian , 
Tim McKeever  ,  adr mixer (7 episodes 2022) ,  werewolf , vegetarian , 
Simon Diggins  ,  adr mixer (6 episodes 2022) ,  mermaid , anything , 
Jonathan Gomez  ,  adr mixer (4 episodes 2022) ,  seer , anything , 
Nathan Jackson  ,  foley editor (1 episode 2022) ,  werewolf , flexitarian , 
William Kellerman  ,  foley artist (1 episode 2022) ,  werewolf , flexitarian , 
Leslie Liu  ,  adr mixer (2 episodes 2022) ,  werewolf , flexitarian , 
Ana Quiroga  ,  audio coordinator (uncredited) (8 episodes 2022) ,  werewolf , vegetarian , 
Dan Barcutean  ,  special effects technician (8 episodes 2022) ,  human , vegetarian , 
Max Costello  ,  special effects technician (7 episodes 2022) ,  seer , flexitarian , 
Florin Stoian  ,  special effects technician (8 episodes 2022) ,  vampire , vegetarian , 
Harry Troughton  ,  special effects coordinator (8 episodes 2022) ,  mermaid , vegetarian , 
Jason Troughton  ,  special effects supervisor (8 episodes 2022) ,  vampire , flexitarian , 
Adrian Nica  ,  lead technician (4 episodes 2022) ,  human , flexitarian , 
Ilinca Angelescu  ,  special effects makeup (1 episode 2022) ,  vampire , flexitarian , 
Yovko Dogandjiiski  ,  special effects supervisor (2 episodes 2022) ,  vampire , vegetarian , 
Antonia Tocheva  ,  special effects office coordinator (2 episodes 2022) ,  human , vegetarian , 
Matthew Adams  ,  digital compositor: Ghost VFX Toronto (8 episodes 2022) ,  werewolf , vegetarian , 
Oana Bardan  ,  visual effects coordinator (8 episodes 2022) ,  vampire , anything , 
Craig Calvert  ,  visual effects supervisor: Mr. X (8 episodes 2022) ,  mermaid , anything , 
Kevin Chandoo  ,  head of studio: Ghost VFX Toronto (8 episodes 2022) ,  human , vegetarian , 
Nick Colangelo  ,  visual effects producer: Mr. X (8 episodes 2022) ,  werewolf , vegetarian , 
John Coldrick  ,  visual effects supervisor: Rocket Science VFX (8 episodes 2022) ,  mermaid , vegetarian , 
Sam Cole  ,  lighting lead: Mr. X (8 episodes 2022) ,  werewolf , vegetarian , 
Chris Cooper  ,  cg supervisor: Mr. X (8 episodes 2022) ,  werewolf , anything , 
Roger Dalupang  ,  lead render wrangler/pipeline td (8 episodes 2022) ,  mermaid , flexitarian , 
Swedyl DSouza  ,  visual effects production manager (8 episodes 2022) ,  human , flexitarian , 
Maxime Ducharme  ,  visual effects artist: MELS (2 episodes 2022) ,  human , vegetarian , 
Paula Fanaia  ,  digital compositor: Ghost VFX Toronto (8 episodes 2022) ,  vampire , flexitarian , 
Mariah Fleetham  ,  visual effects production assistant: Take 5 VFX (8 episodes 2022) ,  human , flexitarian , 
Kathryn Foster  ,  visual effects editor: Ghost VFX Toronto (8 episodes 2022) ,  vampire , anything , 
Ben Funk  ,  lead compositor: Take 5 VFX (8 episodes 2022) ,  werewolf , flexitarian , 
Keith Goh  ,  visual effects assistant editor: MPC (8 episodes 2022) ,  vampire , anything , 
Kari-Lyn Gravel  ,  visual effects associate line producer: Stereo D (8 episodes 2022) ,  vampire , anything , 
Jon Howard  ,  visual effects producer: Ghost VFX Toronto (6 episodes 2022) ,  human , anything , 
Kent Johnson  ,  visual effects producer (8 episodes 2022) ,  seer , flexitarian , 
Anna Joukova  ,  compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022) ,  mermaid , anything , 
Jesse Kawzenuk  ,  on-set visual effects supervisor (8 episodes 2022) ,  seer , vegetarian , 
Grant Lee  ,  visual effects supervisor: Stereo D (8 episodes 2022) ,  vampire , vegetarian , 
Jake Lunt Davies  ,  concept design (8 episodes 2022) ,  seer , vegetarian , 
Dumitrana Teodora Lupu  ,  visual effects production assistant (8 episodes 2022) ,  human , vegetarian , 
Amy Madigan  ,  visual effects production manager: Stereo D (8 episodes 2022) ,  werewolf , flexitarian , 
Yael Majors  ,  visual effects assistant supervisor: Stereo D (3 episodes 2022) ,  vampire , flexitarian , 
Mariano Mendoza  ,  assets lead: Mr. X (8 episodes 2022) ,  seer , anything , 
Guillermo Molina  ,  lead tools developer (8 episodes 2022) ,  vampire , flexitarian , 
Skye Morandin  ,  visual effects production manager: Stereo D (8 episodes 2022) ,  seer , vegetarian , 
Tom Nagy  ,  animation supervisor: Mr. X (8 episodes 2022) ,  seer , vegetarian , 
Ken Nielsen  ,  compositing supervisor: Ghost VFX Toronto (8 episodes 2022) ,  seer , anything , 
Razvan Nineaca  ,  data wrangler (8 episodes 2022) ,  human , flexitarian , 
Anthony O'Connell  ,  Render Wrangler (8 episodes 2022) ,  mermaid , flexitarian , 
Catalin Otelea  ,  data wrangler (8 episodes 2022) ,  vampire , anything , 
Matei Ovejan  ,  data wrangler (8 episodes 2022) ,  vampire , anything , 
Alessandro Pantanella  ,  visual effects supervisor: Ghost VFX Toronto (8 episodes 2022) ,  human , flexitarian , 
Travis Pond  ,  compositor: Take 5 VFX (8 episodes 2022) ,  mermaid , flexitarian , 
Yawar Raja  ,  layout lead: Mr. X (8 episodes 2022) ,  human , flexitarian , 
Aditya Sawant  ,  visual effects coordinator: Ghost VFX Toronto (8 episodes 2022) ,  werewolf , anything , 
Matt Schofield  ,  vfx head of operations (8 episodes 2022) ,  mermaid , vegetarian , 
Ksenia Shutova  ,  compositor: Take 5 VFX (8 episodes 2022) ,  mermaid , vegetarian , 
Mark Simone  ,  visual effects producer: Stereo D (8 episodes 2022) ,  seer , vegetarian , 
Denis St-Pierre  ,  compositor: Take 5 VFX (8 episodes 2022) ,  vampire , anything , 
Ryan Terk  ,  Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022) ,  mermaid , vegetarian , 
Jason Teske  ,  rigging lead: Mr. X (8 episodes 2022) ,  human , flexitarian , 
Tom Turnbull  ,  visual effects supervisor (8 episodes 2022) ,  seer , anything , 
Fabi�n Varela  ,  visual effects producer: Ghost VFX Toronto (8 episodes 2022) ,  mermaid , anything , 
Kelly Weisz  ,  visual effects studio manager: Take 5 VFX (8 episodes 2022) ,  human , flexitarian , 
Angela Zhang  ,  visual effects production manager: Mr. X (8 episodes 2022) ,  werewolf , anything , 
Kayden Anderson  ,  visual effects producer: Rocket Science VFX (7 episodes 2022) ,  seer , anything , 
Eddie Englander  ,  visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022) ,  human , flexitarian , 
Rashid Khallouk  ,  compositing lead: Mr. X (6 episodes 2022) ,  mermaid , flexitarian , 
Timothy Mah  ,  visual effects editor: Rocket Science VFX (7 episodes 2022) ,  mermaid , vegetarian , 
Michael Osuszek  ,  visual effects coordinator: Rocket Science VFX (7 episodes 2022) ,  werewolf , anything , 
Rodrigo Paiva  ,  compositing lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , anything , 
Suresh Pandi  ,  lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022) ,  human , anything , 
Francois Robert  ,  matchmove/layout artist: MELS (3 episodes 2022) ,  mermaid , flexitarian , 
Adam Smith  ,  lead compositor: Rocket Science VFX (7 episodes 2022) ,  seer , flexitarian , 
Sarvesh Amre  ,  visual effects production manager: NetFX Mumbai (6 episodes 2022) ,  werewolf , flexitarian , 
Beno�t Bri�re  ,  visual effects supervisor: MELS (6 episodes 2022) ,  mermaid , anything , 
Paul Chambers  ,  assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,  werewolf , vegetarian , 
Dipak Gaur  ,  digital compositor: Ghost VFX Toronto (6 episodes 2022) ,  vampire , flexitarian , 
Taraknath Ghosh  ,  paint artist: Stereo D (5 episodes 2022) ,  seer , flexitarian , 
Baz Lanaris  ,  cg supervisor: MELS (6 episodes 2022) ,  human , flexitarian , 
Prateek Mishra  ,  paint artist: Stereo D (5 episodes 2022) ,  werewolf , anything , 
Erin Nicholson  ,  cg supervisor: Ghost VFX Toronto (6 episodes 2022) ,  human , anything , 
Bikram Singh  ,  paint artist: Stereo D (5 episodes 2022) ,  werewolf , flexitarian , 
Khushroo Surveyor  ,  visual effects lighter: Rocket Science VFX (5 episodes 2022) ,  werewolf , flexitarian , 
Ramesh Kumar Yanagandhula  ,  paint artist: Stereo D (5 episodes 2022) ,  mermaid , vegetarian , 
Lynx Zuo  ,  digital compositor: Ghost VFX Toronto (6 episodes 2022) ,  human , flexitarian , 
Patti Gannon  ,  compositor: Take 5 VFX (4 episodes 2022) ,  vampire , anything , 
Tanya Haddad  ,  visual effects producer: Folks VFX (5 episodes 2022) ,  seer , anything , 
JoAnna Johnson  ,  compositor: Rocket Science VFX (4 episodes 2022) ,  werewolf , anything , 
Luca Lim Diniz  ,  visual effects artist: MELS (4 episodes 2022) ,  vampire , anything , 
Brodie McNeill  ,  visual effects supervisor: Folks VFX (5 episodes 2022) ,  seer , anything , 
Tabata Ortiz  ,  visual effects artist: MELS (4 episodes 2022) ,  vampire , anything , 
