Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
Kent Johnson  ,  visual effects producer (8 episodes 2022) ,  vampire , vegetarian , 
Anna Joukova  ,  compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022) ,  human , anything , 
Jesse Kawzenuk  ,  on-set visual effects supervisor (8 episodes 2022) ,  mermaid , anything , 
Grant Lee  ,  visual effects supervisor: Stereo D (8 episodes 2022) ,  seer , flexitarian , 
Jake Lunt Davies  ,  concept design (8 episodes 2022) ,  mermaid , flexitarian , 
Dumitrana Teodora Lupu  ,  visual effects production assistant (8 episodes 2022) ,  human , vegetarian , 
Amy Madigan  ,  visual effects production manager: Stereo D (8 episodes 2022) ,  mermaid , vegetarian , 
Yael Majors  ,  visual effects assistant supervisor: Stereo D (3 episodes 2022) ,  vampire , anything , 
Mariano Mendoza  ,  assets lead: Mr. X (8 episodes 2022) ,  seer , anything , 
Guillermo Molina  ,  lead tools developer (8 episodes 2022) ,  human , anything , 
Skye Morandin  ,  visual effects production manager: Stereo D (8 episodes 2022) ,  seer , flexitarian , 
Tom Nagy  ,  animation supervisor: Mr. X (8 episodes 2022) ,  seer , vegetarian , 
Ken Nielsen  ,  compositing supervisor: Ghost VFX Toronto (8 episodes 2022) ,  vampire , flexitarian , 
Razvan Nineaca  ,  data wrangler (8 episodes 2022) ,  mermaid , vegetarian , 
Anthony O'Connell  ,  Render Wrangler (8 episodes 2022) ,  werewolf , flexitarian , 
Catalin Otelea  ,  data wrangler (8 episodes 2022) ,  human , anything , 
Matei Ovejan  ,  data wrangler (8 episodes 2022) ,  werewolf , flexitarian , 
Alessandro Pantanella  ,  visual effects supervisor: Ghost VFX Toronto (8 episodes 2022) ,  werewolf , anything , 
Travis Pond  ,  compositor: Take 5 VFX (8 episodes 2022) ,  human , flexitarian , 
Yawar Raja  ,  layout lead: Mr. X (8 episodes 2022) ,  human , vegetarian , 
Aditya Sawant  ,  visual effects coordinator: Ghost VFX Toronto (8 episodes 2022) ,  seer , anything , 
Matt Schofield  ,  vfx head of operations (8 episodes 2022) ,  vampire , anything , 
Ksenia Shutova  ,  compositor: Take 5 VFX (8 episodes 2022) ,  werewolf , anything , 
Mark Simone  ,  visual effects producer: Stereo D (8 episodes 2022) ,  seer , flexitarian , 
Denis St-Pierre  ,  compositor: Take 5 VFX (8 episodes 2022) ,  vampire , vegetarian , 
Ryan Terk  ,  Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022) ,  seer , flexitarian , 
Jason Teske  ,  rigging lead: Mr. X (8 episodes 2022) ,  seer , anything , 
Tom Turnbull  ,  visual effects supervisor (8 episodes 2022) ,  mermaid , flexitarian , 
Fabi�n Varela  ,  visual effects producer: Ghost VFX Toronto (8 episodes 2022) ,  seer , anything , 
Kelly Weisz  ,  visual effects studio manager: Take 5 VFX (8 episodes 2022) ,  werewolf , vegetarian , 
Angela Zhang  ,  visual effects production manager: Mr. X (8 episodes 2022) ,  seer , flexitarian , 
Kayden Anderson  ,  visual effects producer: Rocket Science VFX (7 episodes 2022) ,  vampire , flexitarian , 
Eddie Englander  ,  visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022) ,  werewolf , flexitarian , 
Rashid Khallouk  ,  compositing lead: Mr. X (6 episodes 2022) ,  vampire , anything , 
Timothy Mah  ,  visual effects editor: Rocket Science VFX (7 episodes 2022) ,  human , flexitarian , 
Michael Osuszek  ,  visual effects coordinator: Rocket Science VFX (7 episodes 2022) ,  werewolf , vegetarian , 
Rodrigo Paiva  ,  compositing lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  werewolf , flexitarian , 
Suresh Pandi  ,  lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022) ,  seer , flexitarian , 
Francois Robert  ,  matchmove/layout artist: MELS (3 episodes 2022) ,  seer , vegetarian , 
Adam Smith  ,  lead compositor: Rocket Science VFX (7 episodes 2022) ,  mermaid , vegetarian , 
Sarvesh Amre  ,  visual effects production manager: NetFX Mumbai (6 episodes 2022) ,  werewolf , flexitarian , 
Beno�t Bri�re  ,  visual effects supervisor: MELS (6 episodes 2022) ,  werewolf , vegetarian , 
Paul Chambers  ,  assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , flexitarian , 
Dipak Gaur  ,  digital compositor: Ghost VFX Toronto (6 episodes 2022) ,  human , vegetarian , 
Taraknath Ghosh  ,  paint artist: Stereo D (5 episodes 2022) ,  werewolf , flexitarian , 
Baz Lanaris  ,  cg supervisor: MELS (6 episodes 2022) ,  human , vegetarian , 
Prateek Mishra  ,  paint artist: Stereo D (5 episodes 2022) ,  vampire , vegetarian , 
Erin Nicholson  ,  cg supervisor: Ghost VFX Toronto (6 episodes 2022) ,  seer , vegetarian , 
Bikram Singh  ,  paint artist: Stereo D (5 episodes 2022) ,  seer , flexitarian , 
Khushroo Surveyor  ,  visual effects lighter: Rocket Science VFX (5 episodes 2022) ,  human , vegetarian , 
Ramesh Kumar Yanagandhula  ,  paint artist: Stereo D (5 episodes 2022) ,  mermaid , flexitarian , 
Lynx Zuo  ,  digital compositor: Ghost VFX Toronto (6 episodes 2022) ,  vampire , anything , 
Patti Gannon  ,  compositor: Take 5 VFX (4 episodes 2022) ,  werewolf , flexitarian , 
Tanya Haddad  ,  visual effects producer: Folks VFX (5 episodes 2022) ,  vampire , flexitarian , 
JoAnna Johnson  ,  compositor: Rocket Science VFX (4 episodes 2022) ,  seer , vegetarian , 
Luca Lim Diniz  ,  visual effects artist: MELS (4 episodes 2022) ,  seer , vegetarian , 
Brodie McNeill  ,  visual effects supervisor: Folks VFX (5 episodes 2022) ,  human , flexitarian , 
Tabata Ortiz  ,  visual effects artist: MELS (4 episodes 2022) ,  werewolf , flexitarian , 
