Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Percy Hynes White   ,   actor/actress: Xavier Thorpe (8 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Georgie Farmer   ,   actor/actress: Ajax Petropolus (8 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Johnna Dias-Watson   ,   actor/actress: Divina (8 episodes 2022) ,   human  , flexitarian ,  anything  , anything ,   , vegetarian , 
Oliver Watson   ,   actor/actress: Kent (8 episodes 2022) ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Victor Dorobantu   ,   actor/actress: Thing (8 episodes 2022) ,   vampire  , anything ,  flexitarian  , anything ,   , vegetarian , 
Moosa Mostafa   ,   actor/actress: Eugene Ottinger (8 episodes 2022) ,   human  , flexitarian ,  anything  , vegetarian ,   , anything , 
Daniel Himschoot   ,   actor/actress: Hyde Monster (8 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Luyanda Unati Lewis-Nyawo   ,   actor/actress: Deputy Ritchie Santiago (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
Iman Marson   ,   actor/actress: Lucas (8 episodes 2022) ,   human  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
Calum Ross   ,   actor/actress: Rowan Laslow (8 episodes 2022) ,   vampire  , anything ,  anything  , vegetarian ,   , vegetarian , 
Cezar Grumazescu   ,   actor/actress: Coach Vlad (8 episodes 2022) ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
Tommie Earl Jenkins   ,   actor/actress: Mayor Noble Walker (8 episodes 2022) ,   human  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
Catherine Zeta-Jones   ,   actor/actress: Morticia Addams (8 episodes 2022) ,   seer  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
Morgan Beale   ,   actor/actress: Jonah (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , anything ,   , flexitarian , 
George Burcea   ,   actor/actress: Lurch (8 episodes 2022) ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Islam Bouakkaz   ,   actor/actress: Carter (8 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
William Houston   ,   actor/actress: Joseph Crackstone (8 episodes 2022) ,   seer  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
Karina Varadi   ,   actor/actress: Wednesday (6yo)  (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
Rina Mahoney   ,   actor/actress: Janet Ottinger (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
Georgia Goodman   ,   actor/actress: Sue Ottinger (8 episodes 2022) ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
Murray McArthur   ,   actor/actress: Fabian (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
Fred Armisen   ,   actor/actress: Uncle Fester (8 episodes 2022) ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
Luis Guzm�n   ,   actor/actress: Gomez Addams (8 episodes 2022) ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Olimpia Malai   ,   actor/actress: The Minister (8 episodes 2022) ,   vampire  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
Isaac Ordonez   ,   actor/actress: Pugsley Addams (8 episodes 2022) ,   werewolf  , anything ,  anything  , flexitarian ,   , anything , 
Nitin Ganatra   ,   actor/actress: Dr. Anwar (8 episodes 2022) ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Lucius Hoyos   ,   actor/actress: Young Gomez (8 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Cheherezade Valentine Okotaka Ebale   ,   actor/actress: Lou-Anne Walker (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
Oliver Wickham   ,   actor/actress: Young Larissa Weems (8 episodes 2022) ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
Edward Kennedy   ,   actor/actress: MC Blood Suckaz (8 episodes 2022) ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
Ismail Kesu   ,   actor/actress: Young Sheriff Walker (8 episodes 2022) ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
Caroline Lawrie   ,   actor/actress: Martha (8 episodes 2022) ,   seer  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
Lachele Carl   ,   actor/actress: Agnes (8 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Gwen Jones   ,   actor/actress: Young Morticia Addams (8 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
Lisa O'Hare   ,   actor/actress: Arlene (8 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , vegetarian , 
Sophia Nomvete   ,   actor/actress: Connie Jorgensen (8 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , anything , 
Ichir� Y�ki   ,   actor/actress: Kenichi Tanaka (8 episodes 2022) ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
Amanda Drew   ,   actor/actress: Esther Sinclair (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , anything , 
Ryan Ellsworth   ,   actor/actress: Murray Sinclair (8 episodes 2022) ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
Gloria Garcia   ,   actor/actress: Goody's Mom (8 episodes 2022) ,   seer  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
Gracy Goldman   ,   actor/actress: Gabrielle (8 episodes 2022) ,   human  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
Lewis Hayes   ,   actor/actress: Garett Gates (8 episodes 2022) ,   seer  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
Philip Rosch   ,   actor/actress: Ansel Gates (8 episodes 2022) ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Michael Okele   ,   actor/actress: Morga(uncredited) (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
Chloe Cate   ,   actor/actress: Studen(uncredited) (8 episodes 2022) ,   seer  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
Kayla Alpert   ,   executive producer (8 episodes 2022) ,   seer  , anything ,  anything  , vegetarian ,   , flexitarian , 
Gail Berman   ,   executive producer (8 episodes 2022) ,   vampire  , anything ,  vegetarian  , vegetarian ,   , anything , 
Tim Burton   ,   executive producer (8 episodes 2022) ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
Jonathan Glickman   ,   executive producer (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
Carla Gonz�lez Vargas   ,   co-executive producer (8 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Alfred Gough   ,   executive producer (8 episodes 2022) ,   mermaid  , vegetarian ,  anything  , anything ,   , vegetarian , 
Tommy Harper   ,   executive producer (8 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
Nick Iannelli   ,   co-producer (8 episodes 2022) ,   vampire  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Kevin Lafferty   ,   executive producer (8 episodes 2022) ,   seer  , vegetarian ,  anything  , flexitarian ,   , anything , 
Miles Millar   ,   executive producer (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
David Minkowski   ,   co-executive producer (8 episodes 2022) ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Kevin Miserocchi   ,   executive producer (8 episodes 2022) ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
Andrew Mittman   ,   executive producer (8 episodes 2022) ,   seer  , flexitarian ,  anything  , anything ,   , vegetarian , 
Carmen Pepelea   ,   producer (8 episodes 2022) ,   human  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
Steve Stark   ,   executive producer (8 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , anything , 
Natalie Testa   ,   associate producer (8 episodes 2022) ,   vampire  , flexitarian ,  anything  , vegetarian ,   , anything , 
Todd Williams   ,   co-executive producer (8 episodes 2022) ,   seer  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Chris Bacon   ,   music (7 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
Danny Elfman   ,   music (4 episodes 2022) ,   mermaid  , anything ,  vegetarian  , anything ,   , vegetarian , 
Stephan Pehrsson   ,   cinematography (4 episodes 2022) ,   werewolf  , vegetarian ,  anything  , anything ,   , flexitarian , 
David Lanzenberg   ,   cinematography (4 episodes 2022) ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
Ana Yavari   ,   film editing (4 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
Jay Prychidny   ,   film editing (4 episodes 2022) ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
Paul G. Day   ,   film editing (1 episode 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
Florina Fernandes   ,   casting (8 episodes 2022) ,   werewolf  , anything ,  anything  , flexitarian ,   , anything , 
Sophie Holland   ,   casting (8 episodes 2022) ,   human  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
John Papsidera   ,   casting (8 episodes 2022) ,   human  , anything ,  anything  , vegetarian ,   , vegetarian , 
Mark Scruton   ,   production design (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , anything , 
Adrian Curelea   ,   supervising art director (8 episodes 2022) ,   seer  , anything ,  anything  , flexitarian ,   , vegetarian , 
Ghinea Diana   ,   art direction (8 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Silvia Nancu   ,   art direction (8 episodes 2022) ,   vampire  , anything ,  flexitarian  , anything ,   , anything , 
Andrei-Florian Popa   ,   assistant art director / additional standby art director (8 episodes 2022) ,   vampire  , anything ,  anything  , flexitarian ,   , vegetarian , 
Serban Porupca   ,   senior art director (8 episodes 2022) ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , anything , 
Vlad Roseanu   ,   on-set art director / art director (8 episodes 2022) ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Roxana Alexandru   ,   art direction (3 episodes 2022) ,   vampire  , vegetarian ,  anything  , vegetarian ,   , anything , 
Carmen Ratoi   ,   art direction (3 episodes 2022) ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
Laurentiu Zarnoianu   ,   set direction (8 episodes 2022) ,   werewolf  , flexitarian ,  anything  , anything ,   , anything , 
David Morison   ,   set direction (4 episodes 2022) ,   seer  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
Rob Hepburn   ,   set direction (4 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
Colleen Atwood   ,   costume design (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , vegetarian ,   , anything , 
Bianca Boeroiu   ,   makeup artist (8 episodes 2022) ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
Catalin Ciutu   ,   hair stylist supervisor: crowd (8 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , flexitarian , 
Natalie L Costello   ,   special makeup effects artist (8 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
Julian Hutcheson   ,   special makeup effects artist (8 episodes 2022) ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
Nirvana Jalalvand   ,   hair & makeup artist: main team (8 episodes 2022) ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Grace McComisky   ,   prosthetic artist / prosthetic makeup artist (8 episodes 2022) ,   seer  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
Tara McDonald   ,   hair & makeup designer (8 episodes 2022) ,   mermaid  , vegetarian ,  anything  , anything ,   , flexitarian , 
Dominic Mombrun   ,   dental effects designer & fabricator (8 episodes 2022) ,   vampire  , anything ,  anything  , anything ,   , vegetarian , 
Angela Ruiz Morales   ,   prosthetics artist (8 episodes 2022) ,   werewolf  , anything ,  anything  , vegetarian ,   , vegetarian , 
Paraschiv Oana   ,   makeup artist (8 episodes 2022) ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Alexandru Sassu   ,   assistant makeup artist (8 episodes 2022) ,   mermaid  , anything ,  anything  , anything ,   , vegetarian , 
Bas Schwarz   ,   special effects makeup artist: mouldmaker & props (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
Rub�n Serra   ,   special makeup effects artist (8 episodes 2022) ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
Margo Stefan   ,   hair stylist (8 episodes 2022) ,   human  , anything ,  flexitarian  , flexitarian ,   , anything , 
Viktoria Stieber   ,   prosthetic makeup artist (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
Sinead Sweeney   ,   SFX contact lens coordinator (8 episodes 2022) ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
Iuliana Temelie   ,   hair stylist (8 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Clara Tudose   ,   hair & makeup artist (8 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , anything , 
Raquel �lvarez   ,   prosthetic makeup sculptor (8 episodes 2022) ,   vampire  , flexitarian ,  anything  , anything ,   , vegetarian , 
Freda Ellis   ,   makeup supervisor (6 episodes 2022) ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
Ripley Dale-Gulston   ,   junior hair & makeup artist (6 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Olimpia Stoicea   ,   hair & makeup artist: main team (6 episodes 2022) ,   seer  , anything ,  vegetarian  , vegetarian ,   , anything , 
Tia Costell   ,   junior hair & makeup artist (4 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , anything , 
Susan Cole   ,   personal hair stylist: Luis Guzman (4 episodes 2022) ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
Jean Carlos de Blas   ,   key hair & makeup artist (4 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Gabriella Havens   ,   makeup artist (3 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Sheherezada Kouchaki   ,   makeup artist (4 episodes 2022) ,   vampire  , vegetarian ,  anything  , anything ,   , anything , 
Raluca Moldoveanu   ,   makeup artist (4 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , anything ,   , anything , 
Andrea Dardea Tesdall   ,   special makeup effects artist (3 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
Nicoleta Toader   ,   hair stylist: cast (4 episodes 2022) ,   mermaid  , anything ,  vegetarian  , anything ,   , flexitarian , 
Natalie Fox   ,   additional hair & makeup artist (2 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
Niki De Jong   ,   prosthetic makeup artist (1 episode 2022) ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
Ionel Popa   ,   special makeup effects artist (1 episode 2022) ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Athina Sapanidis   ,   prosthethic makeup artist (1 episode 2022) ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Razvan Badea   ,   unit production manager / production manager (8 episodes 2022) ,   human  , vegetarian ,  anything  , flexitarian ,   , anything , 
Irene Iovan Calangiu   ,   health & safety unit production manager: covid (8 episodes 2022) ,   mermaid  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
Alexandru Cseh   ,   production manager: second unit (8 episodes 2022) ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
Emma Mallett   ,   unit production manager: additional photography (1 episode 2022) ,   seer  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Alexandru Acsinte   ,   assistant director (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
Emilie Balusson   ,   second second assistant director / co-second assistant director (8 episodes 2022) ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
Bianca Bumbacea   ,   assistant director (8 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
Simona Dinu   ,   second assistant director (8 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Mariana Grama   ,   crowd second assistant director (8 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Mircea Hategan   ,   first assistant director (8 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Stefania Ispas   ,   trainee assistant director (8 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
Loyzo   ,   third assistant director (8 episodes 2022) ,   vampire  , anything ,  flexitarian  , anything ,   , anything , 
Raphael Tudor   ,   third assistant director (8 episodes 2022) ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
Costin Sforaru   ,   assistant director (7 episodes 2022) ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , anything , 
Sabina Balan   ,   crowd first assistant director (6 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
Brett Chan   ,   second unit director (6 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , anything ,   , anything , 
Ada Dumitru   ,   cast assistant (6 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , anything , 
Emyr Glyn Rees   ,   second assistant director / first assistant director (6 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
Jessica Kirec   ,   second assistant director (4 episodes 2022) ,   seer  , anything ,  vegetarian  , anything ,   , vegetarian , 
George Walker   ,   first assistant director (4 episodes 2022) ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Richard O'Brien-Moran   ,   first assistant director (2 episodes 2022) ,   human  , anything ,  anything  , vegetarian ,   , vegetarian , 
Mihaela Ionita   ,   second assistant director (2 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Alexandra Popa   ,   crowd second assistant director (1 episode 2022) ,   human  , anything ,  anything  , flexitarian ,   , vegetarian , 
Alexandru Trandafira   ,   crowd assistant director (2 episodes 2022) ,   human  , anything ,  anything  , flexitarian ,   , flexitarian , 
Sucioaia Alexandra   ,   set dressing painter (8 episodes 2022) ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
Tache Alexandru   ,   graphic designer (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
Corneliu Mihai Bonciu   ,   sculptor (8 episodes 2022) ,   seer  , anything ,  flexitarian  , anything ,   , anything , 
Rachel Garlick   ,   storyboard artist (8 episodes 2022) ,   seer  , flexitarian ,  vegetarian  , anything ,   , anything , 
Florin Gavrila   ,   lead set dressing painter (8 episodes 2022) ,   werewolf  , anything ,  flexitarian  , anything ,   , vegetarian , 
Adi Handac   ,   property master (8 episodes 2022) ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
Dana Ilie   ,   art department manager (8 episodes 2022) ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
Alexandru Titus Ipate   ,   action vehicles supervisor (8 episodes 2022) ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
Simona Maican   ,   art department coordinator (8 episodes 2022) ,   vampire  , anything ,  flexitarian  , anything ,   , flexitarian , 
Cristian Mihaila   ,   assistant set decorator / set decoration buyer (8 episodes 2022) ,   human  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
Cosmin Miroiu   ,   head of greenery (8 episodes 2022) ,   human  , anything ,  vegetarian  , vegetarian ,   , anything , 
Amalia Mititelu   ,   set dressing painter (8 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Pietro Nume   ,   concept artist (8 episodes 2022) ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Iulia Petrescu   ,   assistant set decorator (8 episodes 2022) ,   vampire  , flexitarian ,  anything  , anything ,   , vegetarian , 
Madalina Ripanu   ,   clearance coordinator (8 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
Geaniloni Sandru   ,   lead painter (8 episodes 2022) ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Eusebiu Sirbu   ,   head graphic designer (8 episodes 2022) ,   mermaid  , anything ,  anything  , anything ,   , vegetarian , 
Cristina Stefan   ,   graphic designer (8 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
Alexandra Tudor   ,   assistant art director (8 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
Laurentiu Zarnoianu   ,   leadman (8 episodes 2022) ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
Liviu Antonescu   ,   graphic designer (6 episodes 2022) ,   human  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
Madalina Ciosu   ,   set designer (6 episodes 2022) ,   mermaid  , flexitarian ,  anything  , anything ,   , vegetarian , 
Tudor Iordachescu   ,   set designer (6 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
Anca Iscru   ,   set designer (6 episodes 2022) ,   vampire  , anything ,  flexitarian  , anything ,   , flexitarian , 
Ana Neag   ,   assistant art director (6 episodes 2022) ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
Iulia Pasarica   ,   assistant art director (6 episodes 2022) ,   human  , flexitarian ,  anything  , anything ,   , anything , 
Andreea Siminea   ,   set designer (6 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , anything , 
Amy Lockwood   ,   assistant set decorator (4 episodes 2022) ,   seer  , anything ,  anything  , flexitarian ,   , flexitarian , 
Andrew Cherry   ,   storyboard artist (3 episodes 2022) ,   seer  , anything ,  anything  , vegetarian ,   , anything , 
Cristian Darstar   ,   storyboard artist (3 episodes 2022) ,   vampire  , anything ,  anything  , vegetarian ,   , anything , 
Adrian Curelea   ,   supervising art director (2 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
Serban Porupca   ,   senior art director (2 episodes 2022) ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Radu Costache   ,   assistant property master (1 episode 2022) ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
Jennifer Keen   ,   first set decoration buyer (1 episode 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Karen Krizanovich   ,   production design researcher (1 episode 2022) ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
Ben Livingstone   ,   illustrator (1 episode 2022) ,   human  , flexitarian ,  anything  , anything ,   , anything , 
Yohann Angelvy   ,   french casting mixer (8 episodes 2022) ,   mermaid  , anything ,  anything  , flexitarian ,   , vegetarian , 
Michael Baskerville   ,   re-recording mixer (8 episodes 2022) ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , anything , 
Nicolae Comarzan   ,   sound mixer: second unit (8 episodes 2022) ,   human  , anything ,  anything  , flexitarian ,   , vegetarian , 
Tony Diaz   ,   adr mixer (8 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Arturo A. Fuenmayor   ,   re-recording mix assistant / additional re-recording mixer (8 episodes 2022) ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
Alastair Gray   ,   dialogue editor (8 episodes 2022) ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
Justin Helle   ,   foley mixer (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
John Loranger   ,   supervising sound editor (8 episodes 2022) ,   seer  , anything ,  anything  , vegetarian ,   , flexitarian , 
Liviu Lupsa   ,   sound mixer (8 episodes 2022) ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
Kristi McIntyre   ,   adr editor / sound effects editor (8 episodes 2022) ,   mermaid  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
Sean Miller   ,   adr recordist (8 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , anything , 
Faustine Pelipel   ,   assistant sound editor (8 episodes 2022) ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Dan Sexton   ,   sound effects editor (8 episodes 2022) ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Alex Stylianou   ,   adr recordist (8 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
